Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
7.90511242403605e-05,800.0000000000001,0.9999999999999297,0.0038468334944923668,0.09097199587988043,0.48455531898775384,0.1381860616119829,0.007740049674144437,0.23646102656635912,0.038238713785386895,0.772275218654375,8.320103806124275e-06,0.0007939476062188673,0.01038880261167584,0.00592048670275822,2.3974844371080123e-07,4.820407460441443e-06,1.0013434201011933e-08,3.218699812800152e-11,2.279118440021145e-06,0.21060587500120057
7.908618796517462e-05,800.0000000000001,0.9999999999999297,0.0038447481533214595,0.09085104202668842,0.48467839198996,0.13812553704706207,0.0077422948342119255,0.23651927523680963,0.03823871071194661,0.7728429006455589,8.314784094908317e-06,0.0007947313401159876,0.010390923710045269,0.00592674166270785,2.3986426531675786e-07,4.818450576801249e-06,1.00164097564636e-08,3.219656196638856e-11,2.286129707425447e-06,0.21002903336432133
7.912125168998873e-05,800.0000000000001,0.9999999999999296,0.003842668428765656,0.09073006634148571,0.48480148969867315,0.13806498960138858,0.007744574517460964,0.23657750454563894,0.03823870686658709,0.773413753952445,8.309539943470514e-06,0.000795518676131219,0.010393095014363182,0.005933051770567755,2.399807970191792e-07,4.816509172794807e-06,1.0019450645538907e-08,3.2206335792161296e-11,2.2932309125985014e-06,0.20944891127400997
7.915631541480285e-05,800.0000000000001,0.99999999999993,0.003840594413192198,0.09060906821652323,0.484924612724598,0.1380044188367683,0.007746889082145946,0.23663571448612958,0.038238702240642616,0.7739878225721637,8.304373131072068e-06,0.0007963096632142458,0.010395317591844378,0.00593941776689842,2.4009804803428927e-07,4.814583594486493e-06,1.002255814722927e-08,3.221632371604074e-11,2.3004239460514207e-06,0.2088654628723852
7.919137913961697e-05,800.0000000000001,0.9999999999999296,0.003838526201740258,0.09048804703281109,0.4850477616891009,0.1379438243062985,0.007749238894108473,0.23669390505069254,0.0382386968252482,0.7745651517561501,8.299285490595326e-06,0.0007971043516770584,0.010397592543288111,0.005945840411251467,2.4021602784531406e-07,4.812674199265505e-06,1.0025733581424014e-08,3.222652998019482e-11,2.3077107579345635e-06,0.20827864099319748
7.922644286443108e-05,800.0000000000001,0.9999999999999297,0.0038364638924208274,0.09036700215975414,0.4851709372245448,0.13788320555408368,0.007751624327021101,0.2367520762308425,0.03823869061133298,0.7751457880611428,8.294278910180417e-06,0.0007979027932492457,0.010399921004484792,0.005952320482889847,2.403347462129168e-07,4.810781356327293e-06,1.002897831063194e-08,3.223695896377144e-11,2.315093361568166e-06,0.20768839710864387
7.92615065892452e-05,800.0000000000001,0.99999999999993,0.0038344075862194508,0.09024593295477772,0.4852941399746372,0.137822562114943,0.007754045762637202,0.23681022801717205,0.038238683589613486,0.7757297793917437,8.28935533987654e-06,0.0007987050411232546,0.010402304147421696,0.005958858781418741,2.4045421318550164e-07,4.808905447090676e-06,1.0032293741467545e-08,3.2247615187674794e-11,2.3225738361357323e-06,0.20709468128491487
7.929657031405932e-05,800.0000000000001,0.9999999999999297,0.0038323573872023706,0.09012483876294328,0.4854173705947836,0.13776189351411028,0.007756503591048251,0.23686836039932557,0.03823867575058667,0.7763171750598926,8.284516790687005e-06,0.000799511150019161,0.01040474318192013,0.005965456127608136,2.4057443911076777e-07,4.807046865751826e-06,1.003568132665276e-08,3.225850332099947e-11,2.3301543285993593e-06,0.20649744212019597
7.933163403887344e-05,800.0000000000001,0.9999999999999297,0.0038303134026278544,0.09000371891654697,0.4855406297524588,0.1377011992669195,0.007758998210952797,0.23692647336597145,0.038238667084522636,0.7769080258412533,8.279765336930076e-06,0.0008003211762455998,0.010407239357206862,0.00597211336418875,2.4069543464752327e-07,4.805206019816583e-06,1.0039142566944259e-08,3.226962818722449e-11,2.3378370576774323e-06,0.20589662668584421
7.936669776368755e-05,800.0000000000001,0.9999999999999297,0.003828275743063104,0.08988257273469989,0.4856639181275942,0.13764047887847639,0.007761530029938133,0.23698456690477152,0.03823865758145688,0.7775023840280786,8.27510312281709e-06,0.0008011351777563677,0.010409793963405007,0.005978831356616926,2.4081721077770663e-07,4.803383330619146e-06,1.0042679012966436e-08,3.228099477010433e-11,2.345624316828023e-06,0.205292180471202
7.940176148850167e-05,800.0000000000001,0.9999999999999297,0.0038262445225065974,0.08976139952288985,0.4857872364129813,0.13757973184331507,0.00776409946477418,0.2370426410023509,0.038238647231182296,0.7781003034960903,8.270532362200371e-06,0.0008019532142230491,0.01041240833338867,0.005985610994001669,2.4093977881970536e-07,4.8015792339464995e-06,1.0046292267483e-08,3.2292608220970217e-11,2.3535184766863738e-06,0.20468404731385964
7.943682521331579e-05,800.0000000000001,0.9999999999999297,0.003824219858515948,0.08964019857252516,0.4859105853146922,0.13751895764504043,0.007766706941719665,0.23710069564426567,0.03823863602324085,0.7787018397695015,8.266055341152136e-06,0.0008027753471052071,0.010415083844603764,0.005992453190019073,2.4106315044204173e-07,4.7997941806623084e-06,1.00499839876312e-08,3.2304473865910545e-11,2.3615219896910952e-06,0.20407216933182018
7.94718889381299e-05,800.0000000000001,0.99999999999993,0.0038222018723414438,0.08951896916046112,0.4860339655525156,0.137458155755957,0.00776935289684078,0.23715873081496905,0.038238623946914976,0.7793070500839262,8.261674425449294e-06,0.0008036016397178769,0.01041782192084481,0.005999358883811586,2.4118733767734237e-07,4.798028637318317e-06,1.0053755887105944e-08,3.231659721279061e-11,2.3696373935751804e-06,0.20345648685783305
7.950695266294402e-05,800.0000000000001,0.9999999999999297,0.003820190689065857,0.08939771054850491,0.4861573778604109,0.13739732563668036,0.007772037776343847,0.23721674649777597,0.03823861099121831,0.7799159934627979,8.257392060843984e-06,0.0008044321573144092,0.010420624034388957,0.006006329041044794,2.413123529377155e-07,4.796283086880008e-06,1.005760973877538e-08,3.232898395965918e-11,2.377867314171739e-06,0.20283693835970015
7.954201638775814e-05,800.0000000000001,0.9999999999999297,0.0038181864377512106,0.08927642198289953,0.4862808229869829,0.13733646673573144,0.007774762036923324,0.23727474267482523,0.038238597144886304,0.7805287307934184,8.253210775334847e-06,0.000805266967168543,0.01042349170813558,0.006013364654969606,2.4143820903069545e-07,4.794558029456193e-06,1.0061547377307354e-08,3.234164000318997e-11,2.386214470954486e-06,0.20221346036093385
7.957708011257226e-05,800.0000000000001,0.9999999999999297,0.0038161892515924676,0.089155102693784,0.4864043016959777,0.13727557848911276,0.007777526146125165,0.23733271932704153,0.03823858239636625,0.7811453249007259,8.249133188510952e-06,0.0008061061386535677,0.010426426517696902,0.006020466747469456,2.415649191755031e-07,4.7928539830225895e-06,1.006557070173991e-08,3.235457144694254e-11,2.3946816813075857e-06,0.20158598736375694
7.961214383738637e-05,800.0000000000001,0.9999999999999296,0.003814199268078579,0.08903375189463157,0.4865278147667969,0.1372146603198664,0.007780330582726223,0.23739067643409328,0.0382385667338069,0.7817658406356821,8.245162012514747e-06,0.0008069497433380268,0.010429430093880376,0.006027636370278428,2.4169249702093367e-07,4.791171484264378e-06,1.0069681678526292e-08,3.2367784611149756e-11,2.403271863453211e-06,0.2009544517569142
7.964720756220049e-05,800.0000000000001,0.9999999999999296,0.0038122166291616,0.0889123687816612,0.48665136299503753,0.13715371163761073,0.007783175837131413,0.23744861397435,0.03823855014504753,0.7823903449653598,8.241300052954142e-06,0.0008077978550829549,0.010432504125234719,0.006034874606228803,2.41820956664092e-07,4.789511089448337e-06,1.0073882344660633e-08,3.2381286042763106e-11,2.4119880432265443e-06,0.20031878372168793
7.96822712870146e-05,800.0000000000001,0.9999999999999297,0.0038102414814340855,0.08879095253322335,0.48677494719305325,0.1370927318380569,0.007786062411788898,0.23750653192483676,0.03823853261760659,0.7830189070588894,8.237550221247105e-06,0.0008086505501340536,0.010435650360496485,0.00604218257046523,2.4195031266933426e-07,4.787873375267359e-06,1.0078174810688368e-08,3.239508252512793e-11,2.4208333596602814e-06,0.1996789111421758
